*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JUN 03, 2025 03:15:25

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2020 109     0  425.29    0.00    0.00   0.87   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2020 110     1  426.13    0.00    0.00   1.17   0.00   2.00   0.00    0.00   0.58   0.00   0.00   0.00   0.28   0.00   0.00   0.00    0.00      0.00        1.13   -0.00    0.00    0.00    0.00
 2020 111     2  426.15    0.00    0.00   1.39   0.00   0.30   0.87    0.00   0.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.01    0.00    0.00    0.00    0.00
 2020 112     3  426.15    0.00    0.00   0.27   0.00   0.00   0.00    0.00   1.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2020 113     4  426.12    0.00    0.00   0.05   0.00   0.00   0.00    0.00   0.22   0.00   0.00   0.00   0.03   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2020 114     5  425.98    0.00    0.00   0.96   0.00   1.00   0.00    0.00   0.04   0.00   0.00   0.00   0.19   0.00   0.00   0.00    0.00      0.00        0.05   -0.00    0.00    0.00    0.00
 2020 115     6  429.20    0.00    0.00   2.77   0.00   5.80   0.00    0.00   0.78   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        3.22    0.00    0.00    0.00    0.00
 2020 116     7  429.20    0.00    0.00   0.80   0.00   0.00   0.00    0.00   1.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00       -0.00   -0.00    0.00    0.00    0.00
 2020 117     8  429.20    0.00    0.00   0.15   0.00   0.00   0.00    0.00   0.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2020 118     9  429.04    0.00    0.00   0.03   0.00   0.00   0.00    0.00   0.12   0.00   0.00   0.00   0.16   0.00   0.00   0.00   -0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2020 119    10  428.80    0.00    0.00   0.01   0.00   0.00   0.00    0.00   0.02   0.00   0.00   0.00   0.24   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2020 120    11  428.52    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.27   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
